"characterid";"modelname";"categoryid";"image"
"2";"A_MultiPlayer.DEFAULT";"1";
"3";"Umbrella01";"1";
"4";"Umbrella03";"1";
"5";"Umbrella04";"1";
"6";"Umbrella05";"1";
"7";"Umbrella06";"1";
"8";"Umbrella07";"1";
"9";"Umbrella08";"1";
"10";"Umbrella09";"1";
"11";"Umbrella10";"1";
"12";"Umbrella11";"1";
"13";"Umbrella13";"1";
"14";"Umbrella14";"1";
"15";"Doberman_01";"2";
"16";"Doberman_CollarGenBlack_01";"2";
"17";"Doberman_CollarGenGreen_01";"2";
"18";"Doberman_CollarGenRed_01";"2";
"19";"Doberman_CollarGen_01";"2";
"20";"Doberman_CollarShockOrange_01";"2";
"21";"Doberman_CollarShock_01";"2";
"22";"EagleBald_01";"2";
"23";"EagleGolden_01";"2";
"24";"EagleGolden_02";"2";
"25";"GermanSheperdDark_Police_01";"2";
"26";"GermanSheperd_01";"2";
"27";"GermanSheperd_CollarGenBlack_01";"2";
"28";"GermanSheperd_CollarGenBlue_01";"2";
"29";"GermanSheperd_CollarGenGreen_01";"2";
"30";"GermanSheperd_CollarGenRed_01";"2";
"31";"GermanSheperd_CollarGen_01";"2";
"32";"GermanSheperd_CollarShockOrange_01";"2";
"33";"GermanSheperd_CollarShock_01";"2";
"34";"GermanSheperd_Dark_01";"2";
"35";"GermanSheperd_HuskyCollarGenBlack_01";"2";
"36";"GermanSheperd_HuskyCollarGenBlue_01";"2";
"37";"GermanSheperd_HuskyCollarGenGreen_01";"2";
"38";"GermanSheperd_HuskyCollarGenRed_01";"2";
"39";"GermanSheperd_Husky_01";"2";
"40";"GermanSheperd_Police_01";"2";
"41";"Labrador_01";"2";
"42";"Labrador_CollarGenBlack_01";"2";
"43";"Labrador_CollarGenBlue_01";"2";
"44";"Labrador_CollarGenGreen_01";"2";
"45";"Labrador_CollarGenRed_01";"2";
"46";"Labrador_CollarGen_01";"2";
"47";"Labrador_chocolate_01";"2";
"48";"Labrador_chocolate_CollarGenBlack_01";"2";
"49";"Labrador_chocolate_CollarGenBlue_01";"2";
"50";"Labrador_chocolate_CollarGenGreen_01";"2";
"51";"Labrador_chocolate_CollarGenRed_01";"2";
"52";"Labrador_chocolate_CollarGen_01";"2";
"53";"NorwichTerrier_01";"2";
"54";"NorwichTerrier_CollarGenBlue_01";"2";
"55";"NorwichTerrier_CollarGenGreen_01";"2";
"56";"NorwichTerrier_CollarGenOrange_01";"2";
"57";"NorwichTerrier_CollarGenPink_01";"2";
"58";"NorwichTerrier_CollarGenRed_01";"2";
"59";"NorwichTerrier_CollarGen_01";"2";
"60";"Parrot_01";"2";
"61";"Parrot_Dark_01";"2";
"62";"Pigeon_01";"2";
"63";"Pigeon_Brown_01";"2";
"64";"Pigeon_Dark_01";"2";
"65";"Pitweiler_01";"2";
"66";"Pitweiler_tricolor_01";"2";
"67";"Pomeranean_01";"2";
"68";"Pomeranean_01_CollarGenBlue_01";"2";
"69";"Pomeranean_01_CollarGenGreen_01";"2";
"70";"Pomeranean_01_CollarGenOrange_01";"2";
"71";"Pomeranean_01_CollarGenPink_01";"2";
"72";"Pomeranean_01_CollarGenRed_01";"2";
"73";"Rat_01";"2";
"74";"Rat_Brown_01";"2";
"75";"Rat_Dark_01";"2";
"76";"Rottweiler_01";"2";
"77";"Rottweiler_CollarGenBlack_01";"2";
"78";"Rottweiler_CollarGenGreen_01";"2";
"79";"Rottweiler_CollarGenRed_01";"2";
"80";"Rottweiler_CollarGen_01";"2";
"81";"Rottweiler_CollarShockOrange_01";"2";
"82";"Rottweiler_CollarShock_01";"2";
"83";"Seagull_01";"2";
"84";"Sealion_01";"2";
"85";"Sealion_02";"2";
"86";"Sealion_03";"2";
"87";"Sealion_group3";"2";
"88";"Sealion_group3.Sealions_Scoutx";"2";
"89";"Sealion_group5";"2";
"90";"Sealion_group5.Sealions_Scoutx";"2";
"91";"Sealion_group7";"2";
"92";"Armored_Gunman_F_01";"3";
"93";"Armored_Gunman_F_02";"3";
"94";"Armored_Gunman_F_03";"3";
"95";"Armored_Gunman_F_04";"3";
"96";"Armored_Gunman_F_05";"3";
"97";"Armored_Gunman_F_06";"3";
"98";"Armored_Gunman_M_01";"3";
"99";"Armored_Gunman_M_02";"3";
"100";"Armored_Gunman_M_03";"3";
"101";"Armored_Gunman_M_04";"3";
"102";"Armored_Gunman_M_05";"3";
"103";"Armored_Gunman_M_06";"3";
"104";"Armored_Gunman_M_07";"3";
"105";"Armored_Gunman_M_08";"3";
"106";"EliteGrenadier_M_01";"3";
"107";"EliteGrenadier_M_02";"3";
"108";"EliteGrenadier_M_03";"3";
"109";"EliteGrenadier_M_04";"3";
"110";"Elite_M_01";"3";
"111";"Elite_M_02";"3";
"112";"Elite_M_03";"3";
"113";"Elite_M_04";"3";
"114";"Elite_M_05";"3";
"115";"Elite_M_06";"3";
"116";"Elite_M_07";"3";
"117";"Elite_M_08";"3";
"118";"Enforcer_M_01";"3";
"119";"Enforcer_M_02";"3";
"120";"Enforcer_M_03";"3";
"121";"Enforcer_M_04";"3";
"122";"Enforcer_M_05";"3";
"123";"Enforcer_M_06";"3";
"124";"Gunman_F_01";"3";
"125";"Gunman_F_02";"3";
"126";"Gunman_F_03";"3";
"127";"Gunman_F_04";"3";
"128";"Gunman_F_05";"3";
"129";"Gunman_F_06";"3";
"130";"Gunman_M_01";"3";
"131";"Gunman_M_02";"3";
"132";"Gunman_M_03";"3";
"133";"Gunman_M_04";"3";
"134";"Gunman_M_05";"3";
"135";"Gunman_M_06";"3";
"136";"Gunman_M_07";"3";
"137";"Gunman_M_08";"3";
"138";"Jammer_M_01";"3";
"139";"Jammer_M_02";"3";
"140";"Jammer_M_03";"3";
"141";"Jammer_M_04";"3";
"142";"Marksman_M_01";"3";
"143";"Marksman_M_02";"3";
"144";"Marksman_M_03";"3";
"145";"Marksman_M_04";"3";
"146";"Affiliated_F_01";"4";
"147";"Affiliated_F_02";"4";
"148";"Affiliated_F_03";"4";
"149";"Affiliated_F_04";"4";
"150";"Affiliated_F_05";"4";
"151";"Affiliated_F_06";"4";
"152";"Affiliated_F_07";"4";
"153";"Affiliated_F_08";"4";
"154";"Affiliated_F_09";"4";
"155";"Affiliated_F_10";"4";
"156";"Affiliated_M_01";"4";
"157";"Affiliated_M_02";"4";
"158";"Affiliated_M_03";"4";
"159";"Affiliated_M_04";"4";
"160";"Affiliated_M_05";"4";
"161";"Affiliated_M_06";"4";
"162";"Armored_Gunman_M_01";"4";
"163";"Armored_Gunman_M_02";"4";
"164";"Armored_Gunman_M_03";"4";
"165";"Armored_Gunman_M_04";"4";
"166";"Armored_Gunman_M_05";"4";
"167";"Armored_Gunman_M_06";"4";
"168";"Armored_Gunman_M_07";"4";
"169";"Armored_Gunman_M_08";"4";
"170";"Armored_Gunman_M_09";"4";
"171";"Armored_Gunman_M_10";"4";
"172";"Armored_Gunman_M_11";"4";
"173";"Armored_Gunman_M_12";"4";
"174";"Armored_Gunman_M_13";"4";
"175";"Armored_Gunman_M_14";"4";
"176";"Armored_Gunman_M_15";"4";
"177";"Armored_Gunman_M_16";"4";
"178";"Armored_Gunman_M_17";"4";
"179";"Armored_Gunman_M_18";"4";
"180";"Armored_Gunman_M_19";"4";
"181";"Armored_Gunman_M_20";"4";
"182";"Elite_Grenadier_M_01";"4";
"183";"Elite_Grenadier_M_02";"4";
"184";"Elite_Grenadier_M_03";"4";
"185";"Elite_Grenadier_M_04";"4";
"186";"Enforcer_MO_01";"4";
"187";"Enforcer_MO_02";"4";
"188";"Enforcer_MO_03";"4";
"189";"Enforcer_MO_04";"4";
"190";"Gunman_M_01";"4";
"191";"Gunman_M_02";"4";
"192";"Gunman_M_03";"4";
"193";"Gunman_M_04";"4";
"194";"Gunman_M_05";"4";
"195";"Gunman_M_06";"4";
"196";"Gunman_M_07";"4";
"197";"Gunman_M_08";"4";
"198";"Gunman_M_09";"4";
"199";"Gunman_M_10";"4";
"200";"Gunman_M_11";"4";
"201";"Gunman_M_12";"4";
"202";"Gunman_M_13";"4";
"203";"Gunman_M_14";"4";
"204";"Gunman_M_15";"4";
"205";"Gunman_M_16";"4";
"206";"Gunman_M_17";"4";
"207";"Gunman_M_18";"4";
"208";"Gunman_M_19";"4";
"209";"Gunman_M_20";"4";
"210";"Jammer_M_01";"4";
"211";"Jammer_M_02";"4";
"212";"Jammer_M_03";"4";
"213";"Jammer_M_04";"4";
"214";"Marksman_M_01";"4";
"215";"Marksman_M_02";"4";
"216";"Marksman_M_03";"4";
"217";"Marksman_M_04";"4";
"218";"Marksman_M_05";"4";
"219";"Gunman_F_01";"5";
"220";"Gunman_F_02";"5";
"221";"Gunman_F_03";"5";
"222";"Gunman_M_01";"5";
"223";"Gunman_M_02";"5";
"224";"Gunman_M_03";"5";
"225";"Gunman_M_04";"5";
"226";"Gunman_M_05";"5";
"227";"Gunman_M_06";"5";
"228";"Gunman_M_07";"5";
"229";"Gunman_M_08";"5";
"230";"Gunman_M_09";"5";
"231";"Gunman_M_10";"5";
"232";"Barefoot.Affiliated_F_01";"6";
"233";"Barefoot.Affiliated_F_02";"6";
"234";"Barefoot.Affiliated_F_03";"6";
"235";"Barefoot.Affiliated_F_04";"6";
"236";"Barefoot.Affiliated_F_05";"6";
"237";"Barefoot.Affiliated_F_06";"6";
"238";"Barefoot.Affiliated_F_07";"6";
"239";"Barefoot.Affiliated_F_08";"6";
"240";"Barefoot.Affiliated_F_09";"6";
"241";"Barefoot.Affiliated_F_10";"6";
"242";"Barefoot.Affiliated_M_01";"6";
"243";"Barefoot.Affiliated_M_02";"6";
"244";"Barefoot.Affiliated_M_03";"6";
"245";"Barefoot.Affiliated_M_04";"6";
"246";"Barefoot.Affiliated_M_05";"6";
"247";"Barefoot.Affiliated_M_06";"6";
"248";"Barefoot.Affiliated_M_07";"6";
"249";"Barefoot.Affiliated_M_08";"6";
"250";"Barefoot.Affiliated_M_09";"6";
"251";"Barefoot.Affiliated_M_10";"6";
"252";"Bratva.Affiliated_F_01";"6";
"253";"Bratva.Affiliated_F_02";"6";
"254";"Bratva.Affiliated_F_03";"6";
"255";"Bratva.Affiliated_F_04";"6";
"256";"Bratva.Affiliated_M_01";"6";
"257";"Bratva.Affiliated_M_02";"6";
"258";"Bratva.Affiliated_M_03";"6";
"259";"Bratva.Affiliated_M_04";"6";
"260";"Bratva.Armored_Gunman_M_01";"6";
"261";"Bratva.Armored_Gunman_M_02";"6";
"262";"Bratva.Armored_Gunman_M_03";"6";
"263";"Bratva.Armored_Gunman_M_04";"6";
"264";"Bratva.Armored_Gunman_M_05";"6";
"265";"Bratva.Armored_Gunman_M_06";"6";
"266";"Bratva.Armored_Gunman_M_07";"6";
"267";"Bratva.Armored_Gunman_M_08";"6";
"268";"Bratva.Armored_Gunman_M_09";"6";
"269";"Bratva.Armored_Gunman_M_10";"6";
"270";"Bratva.Elite_Grenadier_M01";"6";
"271";"Bratva.Elite_Grenadier_M02";"6";
